Artist 22/948 | Stage Name: Boi B | Full Name: Kim Seong-kyung | Gender: Male | Birth Year: Not found | Age: Unknown | Birth Place: Unknown | Nationality: Korean | Occupation(s): Rapper | Years Active: 2010–present | Group: Rhythm Power | Genre: Korean hip hop, Grime,  | 
Artist 23/948 | Stage Name: Bong Jae-hyun | Full Name: Bong Jae-hyun | Gender: Male | Birth Year: 1999-01-04 | Age: 27 | Birth Place: Gangbuk District, Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, actor | Years Active: 2017–present | Group: Golden Child | Genre: K-pop, dance-pop, future bass, reggaeton, Pop rock | 
Artist 24/948 | Stage Name: Bumkey | Full Name: Kwon Ki-bum | Gender: Male | Birth Year: 1984-09-22 | Age: 41 | Birth Place: Seongbuk-dong, Seoul, South Korea | Nationality: Korean | Occupation(s):  | Years Active: 2010–present | Group: Troy | Genre: K-pop, hip hop, R&B | 
Artist 25/948 | Stage Name: Bumzu | Full Name: Kye Beom-ju | Gender: Male | Birth Year: 1991-11-08 | Age: 34 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter, record producer | Years Active: 2011–present | Group: None | Genre: K-pop | 
Artist 26/948 | Stage Name: Byung Hun (entertainer) | Full Name: Lee Byung-hun | Gender: Male | Birth Year: 1993-11-23 | Age: 32 | Birth Place: Gunsan, North Jeolla Province, South Korea | Nationality: Korean | Occupation(s):  | Years Active: 2010–present | Group: Teen Top | Genre: K-pop | 
Artist 27/948 | Stage Name: Marcus Cabais | Full Name: Marcus Rayden Cabais | Gender: Male | Birth Year: 2009-08-31 | Age: 16 | Birth Place: Bataan, Philippines | Nationality: Filipino | Occupation(s): Singer, actor | Years Active: 2023–present | Group: Hori7on | Genre: K-pop, P-pop | 
Artist 28/948 | Stage Name: Cha Eun-woo | Full Name: Lee Dong-min | Gender: Male | Birth Year: 1997-03-30 | Age: 28 | Birth Place: Gunpo, South Korea | Nationality: Korean | Occupation(s): Singer, actor | Years Active: 2014–present | Group: Astro | Genre: K-pop, electropop, synth-pop, R&B | 
Artist 29/948 | Stage Name: Cha Hun | Full Name: Cha Hun | Gender: Male | Birth Year: 1994-07-12 | Age: 31 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, Actor, Guitarist | Years Active: 2015–present | Group: N.Flying | Genre: Rap rock, Pop rock, Alternative rock | 
Artist 30/948 | Stage Name: Cha In-ha | Full Name: Cha In-ha | Gender: Male | Birth Year: 1992-07-15 | Age: 33 | Birth Place: Seoul, South Korea | Nationality: South Korean | Occupation(s):  | Years Active: 2017–2019 | Group: None | Genre: K-pop | 
Artist 31/948 | Stage Name: Chae Bo-hun | Full Name: Chae Bo-hun | Gender: Male | Birth Year: 1992-08-23 | Age: 33 | Birth Place: Daegu | Nationality: South Korean | Occupation(s):  | Years Active: 2015–present | Group: Purple Rain | Genre: Rock | 
Artist 32/948 | Stage Name: Chancellor (musician) | Full Name: Kim Jung-seung | Gender: Male | Birth Year: 1986-10-22 | Age: 39 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer-songwriter, record producer | Years Active: 2010–present | Group: One Way | Genre: R&B, hip hop | 
Artist 33/948 | Stage Name: Jay Chang | Full Name: Jay Steven Kapossy | Gender: Male | Birth Year: 2001-03-08 | Age: 24 | Birth Place: Hasbrouck Heights, New Jersey, USA | Nationality: Korean | Occupation(s):  | Years Active: 2018 2020–present | Group: One Pact | Genre: K-pop | 
Artist 34/948 | Stage Name: Changbin | Full Name: Seo Chang-bin | Gender: Male | Birth Year: 1999-08-11 | Age: 26 | Birth Place: Yongin, Gyeonggi Province, South Korea | Nationality: Korean | Occupation(s): Rapper, singer, songwriter, record producer, composer | Years Active: 2017–present | Group: Stray Kids | Genre: K-pop, hip-hop, electronic | 
Artist 35/948 | Stage Name: Changjo | Full Name: Choi Jong-hyun | Gender: Male | Birth Year: 1995-11-16 | Age: 30 | Birth Place: Chuncheon-si, Gangwon, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter, actor | Years Active: 2010–present | Group: Teen Top | Genre: K-pop | 
Artist 36/948 | Stage Name: Max Changmin | Full Name: Shim Chang-min | Gender: Male | Birth Year: 1988-02-18 | Age: 38 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer-songwriter, actor, lyricist | Years Active: 2003–present | Group: TVXQ | Genre: K-pop, pop, dance, R&B, electronic, rock | 
Artist 37/948 | Stage Name: Chanyeol | Full Name: Park Chan-yeol | Gender: Male | Birth Year: 1992-11-27 | Age: 33 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Rapper, singer, songwriter, record producer, actor | Years Active: 2012–present | Group: Exo | Genre: K-pop, R&B, hip hop, EDM, electropop, dance-pop | 
Artist 38/948 | Stage Name: Chen (singer) | Full Name: Kim Jong-dae | Gender: Male | Birth Year: 1992-09-21 | Age: 33 | Birth Place: Daejeon, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter | Years Active: 2011–present | Group: Exo | Genre: K-pop, R&B, hip hop, EDM, electropop, dance-pop | 
Artist 39/948 | Stage Name: Chenle | Full Name: Zhong Chenle | Gender: Male | Birth Year: 2001-11-22 | Age: 24 | Birth Place: Shanghai, China | Nationality: Chinese | Occupation(s): Singer, actor | Years Active: 2009–present | Group: NCT | Genre: K-pop, C-pop, J-pop, Hip hop, R&B, EDM | 
Artist 40/948 | Stage Name: Cho Kyu-hyun | Full Name: Cho Kyu-hyun | Gender: Male | Birth Year: 1988-02-03 | Age: 38 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, musical theatre actor, television host | Years Active: 2006–present | Group: Super Junior | Genre: K-pop, dance-pop, electropop, R&B, hip hop | 
Artist 41/948 | Stage Name: Andrew Choi | Full Name: Andrew Choi | Gender: Male | Birth Year: 1980-12-25 | Age: 45 | Birth Place: Busan, South Korea | Nationality: South Korean | Occupation(s): Singer, composer | Years Active: Not found | Group: None | Genre: K-pop | 
