Artist 91/948 | Stage Name: Han (musician) | Full Name: Han Ji-sung | Gender: Male | Birth Year: 2000-09-14 | Age: 25 | Birth Place: Incheon, South Korea | Nationality: Korean | Occupation(s): Rapper, singer, songwriter, producer | Years Active: 2017–present | Group: Stray Kids | Genre: K-pop, hip-hop, electronic | 
Artist 92/948 | Stage Name: Han Geng | Full Name: Han Geng | Gender: Male | Birth Year: 1984-02-09 | Age: 42 | Birth Place: Mudanjiang, Heilongjiang, China | Nationality: Chinese | Occupation(s): Actor, singer, dancer, model | Years Active: 2005–present | Group: Super Junior | Genre: K-pop, dance-pop, electropop, R&B, hip hop | 
Artist 93/948 | Stage Name: Han Hee-jun | Full Name: Han Hee-jun | Gender: Male | Birth Year: 1989-04-20 | Age: 36 | Birth Place: Anyang, Gyeonggi, South Korea | Nationality: Korean | Occupation(s):  | Years Active: 2012–present | Group: None | Genre: K-pop | 
Artist 94/948 | Stage Name: Han Seung-woo | Full Name: Han Seung-woo | Gender: Male | Birth Year: 1994-12-24 | Age: 31 | Birth Place: Busan, South Korea | Nationality: Korean | Occupation(s): Singer-songwriter, actor | Years Active: 2016–present | Group: Victon | Genre: K-pop, dance-pop, hip hop | 
Artist 95/948 | Stage Name: Hanbin (singer) | Full Name: Ngô Ngọc Hưng | Gender: Male | Birth Year: 1998-01-19 | Age: 28 | Birth Place: Yên Bái, Vietnam | Nationality: Korean | Occupation(s): Singer | Years Active: 2020–present | Group: Tempest | Genre: K-pop, hip hop | 
Artist 96/948 | Stage Name: Hangzoo | Full Name: Yoon Hyung-joon | Gender: Male | Birth Year: 1986-12-10 | Age: 39 | Birth Place: Incheon, South Korea | Nationality: Korean | Occupation(s): Rapper | Years Active: 2010–present | Group: Rhythm Power | Genre: Korean hip hop, Grime,  | 
Artist 97/948 | Stage Name: Hanhae | Full Name: Jung Han-hae | Gender: Male | Birth Year: 1990-04-07 | Age: 35 | Birth Place: Busan, South Korea | Nationality: Korean | Occupation(s): Rapper, singer | Years Active: 2011–present | Group: None | Genre: Hip hop | 
Artist 98/948 | Stage Name: Heo Jung-min | Full Name: Heo Jung-min | Gender: Male | Birth Year: 1982-11-11 | Age: 43 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s):  | Years Active: 2001–present | Group: MC the Max | Genre: Korean Ballad, Power Ballad, Pop rock | 
Artist 99/948 | Stage Name: Heo Young-saeng | Full Name: Heo Young-saeng | Gender: Male | Birth Year: 1986-11-03 | Age: 39 | Birth Place: Gochang County, Jeollabuk-do, South Korea | Nationality: Korean | Occupation(s): Singer, actor | Years Active: 2005–present | Group: SS501 | Genre: K-pop, J-pop, dance, R&B | 
Artist 100/948 | Stage Name: Hongjoong | Full Name: Kim Hong-joong | Gender: Male | Birth Year: 1998-11-07 | Age: 27 | Birth Place: Anyang, Gyeonggi, South Korea | Nationality: Korean | Occupation(s): Rapper, Singer, Songwriter, Composer | Years Active: 2018–present | Group: Ateez | Genre: K-pop, hip hop, trap, EDM | 
Artist 101/948 | Stage Name: Hongseok | Full Name: Yang Hong-seok | Gender: Male | Birth Year: 1994-04-17 | Age: 31 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, actor | Years Active: 2016–present | Group: Pentagon | Genre: K-pop, electronic, dance-pop | 
Artist 102/948 | Stage Name: Hoshi (South Korean singer) | Full Name: Kwon Soon-young | Gender: Male | Birth Year: 1996-06-15 | Age: 29 | Birth Place: Namyangju, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter, dancer | Years Active: 2015–present | Group: Seventeen | Genre: K-pop | 
Artist 103/948 | Stage Name: Hoya (singer) | Full Name: Lee Ho-won | Gender: Male | Birth Year: 1991-03-28 | Age: 34 | Birth Place: Busan, South Korea | Nationality: Korean | Occupation(s): Singer, rapper, songwriter, dancer, actor | Years Active: 2010–present | Group: Infinite | Genre: K-pop, Synth-pop, Pop rock, R&B, electronic | 
Artist 104/948 | Stage Name: Justin Huang (singer) | Full Name: Huang Minghao | Gender: Male | Birth Year: 2002-02-19 | Age: 24 | Birth Place: Wenzhou, Zhejiang, China | Nationality: Chinese | Occupation(s): Singer, Rapper, Dancer, Actor, Host | Years Active: 2017–present | Group: NEXT | Genre: C-pop | 
Artist 105/948 | Stage Name: Huang Zitao | Full Name: Huang Zitao | Gender: Male | Birth Year: 1993-05-02 | Age: 32 | Birth Place: Qingdao, Shandong, China | Nationality: Chinese | Occupation(s): Rapper, singer, songwriter, businessman, record producer, actor | Years Active: 2011–present | Group: Exo | Genre: K-pop, R&B, hip hop, EDM, electropop, dance-pop | 
Artist 106/948 | Stage Name: Huh Gak | Full Name: Huh Gak | Gender: Male | Birth Year: 1984-11-15 | Age: 41 | Birth Place: Incheon, South Korea | Nationality: Korean | Occupation(s): Not found | Years Active: 2010–present | Group: None | Genre: Classical, pop opera | 
Artist 107/948 | Stage Name: Hui (singer) | Full Name: Lee Hoe-taek | Gender: Male | Birth Year: 1993-08-28 | Age: 32 | Birth Place: Gwacheon, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter | Years Active: 2016–present | Group: Pentagon | Genre: K-pop, electronic, dance-pop | 
Artist 108/948 | Stage Name: Hur Hyun-jun | Full Name: Hur Hyun-jun | Gender: Male | Birth Year: Not found | Age: Unknown | Birth Place: Busan, South Korea | Nationality: Korean | Occupation(s): Singer, actor | Years Active: 2020–present | Group: The Boyz | Genre: K-pop, hip hop, R&B, synthpop | 
Artist 109/948 | Stage Name: Hwang Chan-sung | Full Name: Hwang Chan-sung | Gender: Male | Birth Year: 1990-02-11 | Age: 36 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter, rapper, actor | Years Active: 2006–present | Group: 2PM | Genre: K-pop, J-pop, R&B, hip-hop, electronic | 
Artist 110/948 | Stage Name: Hwang Chi-yeul | Full Name: Hwang Chiyeul | Gender: Male | Birth Year: 1982-12-03 | Age: 43 | Birth Place: Gumi, North Gyeongsang, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter, TV host | Years Active: 2007–present | Group: None | Genre: K-pop | 
Artist 111/948 | Stage Name: Hwang Kwang-hee | Full Name: Hwang Kwang-hee | Gender: Male | Birth Year: 1988-08-25 | Age: 37 | Birth Place: Paju, South Korea | Nationality: Korean | Occupation(s): Singer, TV host, actor, television personality | Years Active: 2010–present | Group: ZE:A | Genre: K-pop, dance | 
Artist 112/948 | Stage Name: Hwang Min-hyun | Full Name: Hwang Min-hyun | Gender: Male | Birth Year: 1995-08-09 | Age: 30 | Birth Place: Busan, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter, actor | Years Active: 2012–present | Group: None | Genre: K-pop | 
Artist 113/948 | Stage Name: Hwanhee | Full Name: Hwang Yoon-seok | Gender: Unknown | Birth Year: 1982-01-17 | Age: 44 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, actor | Years Active: 1999–present | Group: Fly to the Sky | Genre: K-pop, R&B | 
Artist 114/948 | Stage Name: Hyuk (singer) | Full Name: Han Sang-hyuk | Gender: Male | Birth Year: 1995-07-05 | Age: 30 | Birth Place: Daejeon, South Korea | Nationality: Korean | Occupation(s): Singer, actor | Years Active: 2012–present | Group: VIXX | Genre: K-pop | 
Artist 115/948 | Stage Name: Hyun Jin-young | Full Name: Heo Hyeon-seok | Gender: Male | Birth Year: 1971-02-03 | Age: 55 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, dancer | Years Active: 1990–present | Group: None | Genre: K-pop | 
Artist 116/948 | Stage Name: Hyungwon | Full Name: Chae Hyung-won | Gender: Male | Birth Year: 1994-01-15 | Age: 32 | Birth Place: Gwangsan-gu, Gwangju, South Korea | Nationality: Korean | Occupation(s): Singer, actor, model, DJ, MC, songwriter, producer | Years Active: 2015–present | Group: Monsta X | Genre: K-pop, hip hop, trap, EDM, R&B | 
Artist 117/948 | Stage Name: Hyunjin (Stray Kids singer) | Full Name: Hwang Hyun-jin | Gender: Male | Birth Year: 2000-03-20 | Age: 25 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Rapper, singer, dancer | Years Active: 2018  –present | Group: Stray Kids | Genre: K-pop, hip-hop, electronic | 
Artist 118/948 | Stage Name: I'll (singer) | Full Name: No Jeong-hun | Gender: Male | Birth Year: 1994-11-13 | Age: 31 | Birth Place: Unknown | Nationality: Korean | Occupation(s): Singer, songwriter | Years Active: 2017–present | Group: Hoppipolla | Genre: Rock, Ballad | 
Artist 119/948 | Stage Name: I.M | Full Name: Im Chang-kyun | Gender: Male | Birth Year: 1996-01-26 | Age: 30 | Birth Place: Suwon, South Korea | Nationality: Korean | Occupation(s): Rapper, singer, songwriter, producer | Years Active: 2015–present | Group: Monsta X | Genre: K-pop, hip hop, trap, EDM, R&B | 
Artist 120/948 | Stage Name: I.N | Full Name: Yang Jeong-in | Gender: Male | Birth Year: 2001-02-08 | Age: 25 | Birth Place: Busan, South Korea | Nationality: Korean | Occupation(s):  | Years Active: 2017–present | Group: Stray Kids | Genre: K-pop, hip-hop, electronic | 
Artist 121/948 | Stage Name: Im Hyun-sik (singer) | Full Name: Lim Hyun-sik | Gender: Unknown | Birth Year: 1992-03-07 | Age: 33 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer-songwriter, composer | Years Active: 2012–present | Group: BtoB | Genre: K-pop, dance-pop, R&B, ballad, jazz, J-pop | 
Artist 122/948 | Stage Name: Yim Si-wan | Full Name: Im Woong-jae | Gender: Male | Birth Year: 1988-12-01 | Age: 37 | Birth Place: Busan, South Korea | Nationality: Korean | Occupation(s): Singer, actor | Years Active: 2010–present | Group: ZE:A | Genre: K-pop, dance | 
Artist 123/948 | Stage Name: J-Hope | Full Name: Jung Ho-seok | Gender: Male | Birth Year: 1994-02-18 | Age: 32 | Birth Place: Gwangju, South Korea | Nationality: Korean | Occupation(s): Rapper, singer, songwriter, dancer, record producer | Years Active: 2012–present | Group: BTS | Genre: K-pop, pop, hip-hop, R&B, EDM | 
Artist 124/948 | Stage Name: Jaehyun | Full Name: Jeong Jae-hyun | Gender: Male | Birth Year: 1997-02-14 | Age: 29 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, actor | Years Active: 2013–present | Group: NCT | Genre: K-pop, C-pop, J-pop, Hip hop, R&B, EDM | 
Artist 125/948 | Stage Name: Jaemin | Full Name: Na Jae-min | Gender: Unknown | Birth Year: 2000-08-13 | Age: 25 | Birth Place: Busan, South Korea | Nationality: Korean | Occupation(s): Rapper | Years Active: 2014–present | Group: NCT | Genre: K-pop, C-pop, J-pop, Hip hop, R&B, EDM | 
Artist 126/948 | Stage Name: Jang Beom-june | Full Name: Jang Beom-june | Gender: Male | Birth Year: 1989-05-16 | Age: 36 | Birth Place: Unknown | Nationality: Korean | Occupation(s):  | Years Active: 2011–present | Group: None | Genre: K-pop | 
Artist 127/948 | Stage Name: Jang Dae-hyeon | Full Name: Jang Dae-hyeon | Gender: Male | Birth Year: 1997-02-11 | Age: 29 | Birth Place: Mapo District, Seoul, South Korea | Nationality: Korean | Occupation(s): Rapper, singer, songwriter | Years Active: 2017–present | Group: WEi | Genre: K-pop | 
Artist 128/948 | Stage Name: Jang Dong-woo | Full Name: Jang Dong-woo | Gender: Male | Birth Year: 1990-11-22 | Age: 35 | Birth Place: Guri, Gyeonggi Province, South Korea | Nationality: Korean | Occupation(s): Singer, rapper, dancer | Years Active: 2010–present | Group: Infinite | Genre: K-pop, Synth-pop, Pop rock, R&B, electronic | 
Artist 129/948 | Stage Name: Jang Han-byul | Full Name: Jason Jang Han-byul | Gender: Male | Birth Year: 1990-07-04 | Age: 35 | Birth Place: Brisbane, Queensland, Australia | Nationality: Korean | Occupation(s): Singer, actor, producer, television personality | Years Active: 2011–present | Group: None | Genre: K-pop | 
Artist 130/948 | Stage Name: Jang Hyun-seung | Full Name: Jang Hyun-seung | Gender: Male | Birth Year: 1989-09-03 | Age: 36 | Birth Place: Suncheon, South Jeolla Province, South Korea | Nationality: Korean | Occupation(s):  | Years Active: 2009–present | Group: Beast | Genre: K-pop | 
Artist 131/948 | Stage Name: Jang Jin-young (singer) | Full Name: Jang Jin-young | Gender: Male | Birth Year: 1983-07-01 | Age: 42 | Birth Place: Chuncheon, South Korea | Nationality: Korean | Occupation(s):  | Years Active: 2002–present | Group: Exo | Genre: K-pop, R&B, hip hop, EDM, electropop, dance-pop | 
Artist 132/948 | Stage Name: Jang Minho | Full Name: Jang Ho-geun | Gender: Male | Birth Year: 1977-09-11 | Age: 48 | Birth Place: Busan, South Korea | Nationality: Korean | Occupation(s): Singer, actor, TV presenter, YouTuber | Years Active: 1995–present | Group: None | Genre: K-pop | 
Artist 133/948 | Stage Name: Jang Su-won | Full Name: Jang Su-won | Gender: Male | Birth Year: 1980-07-16 | Age: 45 | Birth Place: Seocho District, Seoul, South Korea | Nationality: Korean | Occupation(s): Singer | Years Active: 1997–present | Group: Sechs Kies | Genre: K-pop, dance-pop, hip hop, R&B | 
Artist 134/948 | Stage Name: Jang Woo-hyuk | Full Name: Jang Woo-hyuk | Gender: Male | Birth Year: 1978-05-08 | Age: 47 | Birth Place: Daegu, South Korea | Nationality: Korean | Occupation(s): Singer, rapper, choreographer, dancer | Years Active: 1996–present | Group: H.O.T. | Genre: K-pop, dance, hip hop | 
Artist 135/948 | Stage Name: Jang Wooyoung | Full Name: Jang Woo-young | Gender: Male | Birth Year: 1989-04-30 | Age: 36 | Birth Place: Busan, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter, dancer, actor | Years Active: 2008–present | Group: 2PM | Genre: K-pop, J-pop, R&B, hip-hop, electronic | 
Artist 136/948 | Stage Name: Jay (South Korean singer) | Full Name: Kim Kyun-woo | Gender: Male | Birth Year: 1983-04-08 | Age: 42 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, actor, vocal trainer | Years Active: 2002–present | Group: SM The Ballad | Genre: K-pop, R&B, Jazz | 
Artist 137/948 | Stage Name: Jay B | Full Name: Lim Jae-beom | Gender: Male | Birth Year: 1994-01-06 | Age: 32 | Birth Place: Siheung, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter, record producer, dancer, model, actor | Years Active: 2012–present | Group: Got7 | Genre: K-pop, hip hop, trap, R&B | 
Artist 138/948 | Stage Name: Jeno (singer) | Full Name: Lee Je-no | Gender: Male | Birth Year: 2000-04-23 | Age: 25 | Birth Place: Incheon, South Korea | Nationality: Korean | Occupation(s): Rapper, singer | Years Active: 2013–present | Group: NCT | Genre: K-pop, C-pop, J-pop, Hip hop, R&B, EDM | 
Artist 139/948 | Stage Name: Jeong Jin-hwan | Full Name: Jeong Jin-hwan | Gender: Male | Birth Year: 1993-04-28 | Age: 32 | Birth Place: South Korea | Nationality: Korean | Occupation(s): Singer, rapper, actor | Years Active: 2018–present | Group: None | Genre: K-pop | 
Artist 140/948 | Stage Name: Jeong Jin-woon | Full Name: Jeong Jin-woon | Gender: Male | Birth Year: 1991-05-02 | Age: 34 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, actor | Years Active: 2007–present | Group: 2AM | Genre: K-pop, R&B, soul | 
Artist 141/948 | Stage Name: Jeong Se-woon | Full Name: Jeong Se-woon | Gender: Male | Birth Year: 1997-05-31 | Age: 28 | Birth Place: Masan, South Gyeongsang, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter | Years Active: 2013–present | Group: None | Genre: K-pop | 
Artist 142/948 | Stage Name: Jeonghan | Full Name: Yoon Jeong-han | Gender: Male | Birth Year: 1995-10-04 | Age: 30 | Birth Place: Hwaseong, Gyeonggi, South Korea | Nationality: Korean | Occupation(s): Singer | Years Active: 2015–present | Group: Seventeen | Genre: K-pop | 
Artist 143/948 | Stage Name: Jero (South Korean singer) | Full Name: Jeon Jun-yong | Gender: Male | Birth Year: 1991-09-25 | Age: 34 | Birth Place: Incheon, South Korea | Nationality: Korean | Occupation(s):  | Years Active: 2010–present | Group: None | Genre: K-pop | 
Artist 144/948 | Stage Name: Jihoon | Full Name: Park Ji-hoon | Gender: Male | Birth Year: 2000-03-14 | Age: 25 | Birth Place: Nam District, Busan, South Korea | Nationality: Korean | Occupation(s): Singer, dancer | Years Active: 2020–present | Group: Treasure | Genre: K-pop, dance, hip hop, ballad | 
Artist 145/948 | Stage Name: Jimin | Full Name: Park Ji-min | Gender: Male | Birth Year: 1995-10-13 | Age: 30 | Birth Place: Busan, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter, dancer | Years Active: 2013–present | Group: BTS | Genre: K-pop, pop, hip-hop, R&B, EDM | 
Artist 146/948 | Stage Name: Jin (singer) | Full Name: Kim Seok-jin | Gender: Male | Birth Year: 1992-12-04 | Age: 33 | Birth Place: Anyang, Gyeonggi, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter | Years Active: 2013–present | Group: BTS | Genre: K-pop, pop, hip-hop, R&B, EDM | 
Artist 147/948 | Stage Name: Jin Longguo | Full Name: Jin Longguo | Gender: Male | Birth Year: 1996-03-02 | Age: 29 | Birth Place: Helong, Yanbian Korean Autonomous Prefecture, Jilin, China | Nationality: Chinese | Occupation(s):  | Years Active: 2017–present | Group: None | Genre: K-pop | 
Artist 148/948 | Stage Name: Jinho | Full Name: Jo Jin-ho | Gender: Male | Birth Year: 1992-04-17 | Age: 33 | Birth Place: Bucheon, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter, composer, vocal coach | Years Active: 2010–present | Group: Pentagon | Genre: K-pop, electronic, dance-pop | 
Artist 149/948 | Stage Name: Jinjin | Full Name: Park Jin-woo | Gender: Male | Birth Year: 1996-03-15 | Age: 29 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Rapper, singer, songwriter, dancer, actor | Years Active: 2015–present | Group: Astro | Genre: K-pop, electropop, synth-pop, R&B | 
Artist 150/948 | Stage Name: Jinu | Full Name: Kim Jin-woo | Gender: Male | Birth Year: 1971-10-23 | Age: 54 | Birth Place: California, United States | Nationality: Korean | Occupation(s): Rapper, singer, songwriter, entrepreneur | Years Active: 1994–present | Group: None | Genre: K-pop | 
Artist 151/948 | Stage Name: Jinyoung (entertainer, born 1994) | Full Name: Park Jin-young | Gender: Male | Birth Year: 1994-09-22 | Age: 31 | Birth Place: Changwon, South Korea | Nationality: Korean | Occupation(s): Singer, actor, songwriter | Years Active: 2012–present | Group: Got7 | Genre: K-pop, hip hop, trap, R&B | 
Artist 152/948 | Stage Name: Jisung | Full Name: Park Ji-sung | Gender: Male | Birth Year: 2002-02-05 | Age: 24 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Rapper, singer, songwriter, dancer, actor | Years Active: 2011  –present | Group: NCT | Genre: K-pop, C-pop, J-pop, Hip hop, R&B, EDM | 
Artist 153/948 | Stage Name: Jo Kwang-min | Full Name: Jo Kwang-min | Gender: Male | Birth Year: 1995-04-24 | Age: 30 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s):  | Years Active: 2002–present | Group: Boyfriend | Genre: K-pop | 
Artist 154/948 | Stage Name: Jo Kwon | Full Name: Jo Kwon | Gender: Male | Birth Year: 1989-08-28 | Age: 36 | Birth Place: Suwon, Gyeonggi, South Korea | Nationality: Korean | Occupation(s): Singer, dancer, actor, television host | Years Active: 2007–present | Group: 2AM | Genre: K-pop, R&B, soul | 
Artist 155/948 | Stage Name: Jo Woo-chan | Full Name: Jo Woo-chan | Gender: Male | Birth Year: 2005-01-20 | Age: 21 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, rapper, actor | Years Active: 2017  –present | Group: AllDay Project | Genre: K-pop | 
Artist 156/948 | Stage Name: Jo Young-min | Full Name: Jo Young-min | Gender: Male | Birth Year: 1995-04-24 | Age: 30 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s):  | Years Active: 2002–present | Group: Boyfriend | Genre: K-pop | 
Artist 157/948 | Stage Name: Jongho | Full Name: Choi Jong-ho | Gender: Male | Birth Year: 2000-10-12 | Age: 25 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, actor | Years Active: 2018–present | Group: Ateez | Genre: K-pop, hip hop, trap, EDM | 
Artist 158/948 | Stage Name: Jonghyun | Full Name: Kim Jong-hyun | Gender: Male | Birth Year: 1990-04-08 | Age: 35 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer-songwriter, record producer, radio host, author | Years Active: 2008–2017 | Group: Shinee | Genre: K-pop, J-pop, R&B, EDM, hip hop | 
Artist 159/948 | Stage Name: Jonghyeong | Full Name: Kim Jong-hyeong | Gender: Male | Birth Year: 2002-04-13 | Age: 23 | Birth Place: Gumi, North Gyeongsang, South Korea | Nationality: Korean | Occupation(s): Singer, actor | Years Active: 2019–present | Group: DKZ | Genre: K-pop | 
Artist 160/948 | Stage Name: Brian Joo | Full Name: Brian Joo | Gender: Male | Birth Year: 1981-01-10 | Age: 45 | Birth Place: California, United States | Nationality: Korean | Occupation(s): Singer, Songwriter, Actor, Television host | Years Active: 1999–present | Group: Fly to the Sky | Genre: K-pop, R&B | 
Artist 161/948 | Stage Name: Joo Jong-hyuk (actor, born 1983) | Full Name: Joo Jung-hyuk | Gender: Male | Birth Year: 1983-10-19 | Age: 42 | Birth Place: South Korea | Nationality: Korean | Occupation(s):  | Years Active: 2006–present | Group: Paran | Genre: K-pop, pop | 
Artist 162/948 | Stage Name: Joohoney | Full Name: Lee Joo-heon | Gender: Male | Birth Year: 1994-10-06 | Age: 31 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Rapper, singer, songwriter, producer | Years Active: 2015–present | Group: Monsta X | Genre: K-pop, hip hop, trap, EDM, R&B | 
Artist 163/948 | Stage Name: Joshua (American singer) | Full Name: Joshua Hong | Gender: Male | Birth Year: 1995-12-30 | Age: 30 | Birth Place: Los Angeles, California, US | Nationality: Korean | Occupation(s):  | Years Active: 2015–present | Group: Seventeen | Genre: K-pop | 
Artist 164/948 | Stage Name: Jun (Chinese entertainer) | Full Name: Wen Junhui | Gender: Male | Birth Year: 1996-06-10 | Age: 29 | Birth Place: Shenzhen, Guangdong, China | Nationality: Chinese | Occupation(s): Singer, actor, dancer, songwriter | Years Active: 2002–present | Group: Seventeen | Genre: K-pop | 
Artist 165/948 | Stage Name: Jun Jin | Full Name: Park Choong-jae | Gender: Male | Birth Year: 1980-08-19 | Age: 45 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, dancer, actor, host | Years Active: 1998–present | Group: Shinhwa | Genre: K-pop, R&B, dance, hip-hop, electropop | 
Artist 166/948 | Stage Name: Jun. K | Full Name: Kim Jun-su | Gender: Male | Birth Year: 1988-01-15 | Age: 38 | Birth Place: Daegu, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter, rapper, record producer, dancer, actor | Years Active: 2008–present | Group: 2PM | Genre: K-pop, J-pop, R&B, hip-hop, electronic | 
Artist 167/948 | Stage Name: Jun.Q | Full Name: Kang Jun-kyu | Gender: Male | Birth Year: 1993-08-09 | Age: 32 | Birth Place: Uijeongbu, South Korea | Nationality: Korean | Occupation(s): Rapper, singer, actor, model | Years Active: 2011–present | Group: Myname | Genre: K-pop, J-pop | 
Artist 168/948 | Stage Name: Jung Chan-woo (singer) | Full Name: Jung Chan-woo | Gender: Male | Birth Year: 1998-01-26 | Age: 28 | Birth Place: Songpa-gu, Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, Actor, YouTuber | Years Active: 2006–present | Group: iKon | Genre: K-pop, hip hop | 
Artist 169/948 | Stage Name: Jung Dae-hyun | Full Name: Jung Dae-hyun | Gender: Male | Birth Year: 1993-06-28 | Age: 32 | Birth Place: Gwangju, South Jeolla Province, South Korea | Nationality: Korean | Occupation(s): Singer, actor | Years Active: 2012–present | Group: None | Genre: K-pop | 
Artist 170/948 | Stage Name: Jung Il-hoon | Full Name: Jung Il-hoon | Gender: Male | Birth Year: 1994-10-04 | Age: 31 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Rapper, singer, songwriter, record producer, actor | Years Active: 2010–2020 2024–present | Group: BtoB | Genre: K-pop, dance-pop, R&B, ballad, jazz, J-pop | 
Artist 171/948 | Stage Name: Jung Jin-young (singer) | Full Name: Jung Jin-young | Gender: Male | Birth Year: 1991-11-18 | Age: 34 | Birth Place: Chungju, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter, record producer, actor | Years Active: 2011–present | Group: B1A4 | Genre: K-pop | 
Artist 172/948 | Stage Name: Jung Joon-young | Full Name: Jung Joon-young | Gender: Unknown | Birth Year: 1989-02-21 | Age: 37 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter, actor, radio DJ, host, TV personality | Years Active: 2008–2019 [ 2 ] | Group: None | Genre: K-pop | 
Artist 173/948 | Stage Name: Jung Kook | Full Name: Jeon Jung-kook | Gender: Male | Birth Year: 1997-09-01 | Age: 28 | Birth Place: Busan, South Korea | Nationality: Korean | Occupation(s): Singer | Years Active: 2013–present | Group: BTS | Genre: K-pop, pop, hip-hop, R&B, EDM | 
Artist 174/948 | Stage Name: Jung Seung-hwan (singer) | Full Name: Jung Seung-hwan | Gender: Male | Birth Year: 1996-08-21 | Age: 29 | Birth Place: Sabuk-eup, Jeongseon County, Gangwon Province, South Korea | Nationality: Korean | Occupation(s):  | Years Active: 2014–present | Group: None | Genre: K-pop | 
Artist 175/948 | Stage Name: Jung Yong-hwa | Full Name: Jung Yong-hwa | Gender: Male | Birth Year: 1989-06-22 | Age: 36 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, musician, actor, songwriter, rapper | Years Active: 2009–present | Group: CNBLUE | Genre: Rock, pop, electronic | 
Artist 176/948 | Stage Name: Jung Yoon-hak | Full Name: Jung Yoon-hak | Gender: Male | Birth Year: 1984-12-02 | Age: 41 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s):  | Years Active: 2007–present | Group: Supernova | Genre: K-pop, J-pop | 
Artist 177/948 | Stage Name: Junggigo | Full Name: Go Jung-gi | Gender: Male | Birth Year: 1980-09-05 | Age: 45 | Birth Place: Seoul, South Korea | Nationality: South Korean | Occupation(s):  | Years Active: 2002–present | Group: None | Genre: K-pop, R&B | 
Artist 178/948 | Stage Name: Jungwoo | Full Name: Kim Jung-woo | Gender: Male | Birth Year: 1998-02-19 | Age: 28 | Birth Place: Gunpo, South Korea | Nationality: Korean | Occupation(s):  | Years Active: 2017–present | Group: NCT | Genre: K-pop, C-pop, J-pop, Hip hop, R&B, EDM | 
Artist 179/948 | Stage Name: Jungyup | Full Name: Ahn Jung-yeop | Gender: Male | Birth Year: 1977-02-25 | Age: 49 | Birth Place: Namwon, North Jeolla Province, South Korea | Nationality: Korean | Occupation(s): Singer | Years Active: 2003–present | Group: Brown Eyed Soul | Genre: K-pop, R&B | 
Artist 180/948 | Stage Name: K.Will | Full Name: Kim Hyung-soo | Gender: Male | Birth Year: 1981-12-30 | Age: 44 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s):  | Years Active: 2007–present | Group: None | Genre: K-pop | 
Artist 181/948 | Stage Name: Kai (entertainer, born 1994) | Full Name: Kim Jong-in | Gender: Male | Birth Year: 1994-01-14 | Age: 32 | Birth Place: Suncheon, South Korea | Nationality: Korean | Occupation(s): Singer, actor, dancer | Years Active: 2011  –present | Group: Exo | Genre: K-pop, R&B, hip hop, EDM, electropop, dance-pop | 
Artist 182/948 | Stage Name: Kang Chan-hee | Full Name: Kang Chan-hee | Gender: Male | Birth Year: 2000-01-17 | Age: 26 | Birth Place: Seo-gu, Daejeon, South Korea | Nationality: Korean | Occupation(s): Singer, actor, dancer | Years Active: 2009–present | Group: SF9 | Genre: K-pop, dance pop, R&B, hip hop | 
